ProductKey,Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,Quantity,Currency Code
1304,366000,1,2016-01-01,,265598,10,1,CAD
1048,366001,1,2016-01-01,2016-01-13,1269051,0,2,USD
2007,366001,2,2016-01-01,2016-01-13,1269051,0,1,USD
1106,366002,1,2016-01-01,2016-01-12,266019,0,7,CAD
373,366002,2,2016-01-01,2016-01-12,266019,0,1,CAD
1080,366002,3,2016-01-01,2016-01-12,266019,0,4,CAD
163,366004,1,2016-01-01,,1107461,38,6,GBP
1529,366004,2,2016-01-01,,1107461,38,2,GBP
421,366005,1,2016-01-01,,844003,33,4,EUR
1617,366007,1,2016-01-01,,2035771,43,1,USD
666,366007,2,2016-01-01,,2035771,43,5,USD
1154,366008,1,2016-01-01,,759705,29,9,EUR
2510,366008,2,2016-01-01,,759705,29,1,EUR
1060,366008,3,2016-01-01,,759705,29,5,EUR
1648,366009,1,2016-01-01,,254540,9,1,CAD
618,366010,1,2016-01-01,2016-01-08,370077,0,5,CAD
128,366011,1,2016-01-01,,1984985,66,7,USD
1638,366011,2,2016-01-01,,1984985,66,1,USD
1634,366011,3,2016-01-01,,1984985,66,1,USD
2392,366011,4,2016-01-01,,1984985,66,3,USD
1807,366012,1,2016-01-01,,1977527,65,1,USD
1594,366012,2,2016-01-01,,1977527,65,4,USD
1297,366012,3,2016-01-01,,1977527,65,1,USD
1654,366013,1,2016-01-01,,1187306,41,5,GBP
123,366014,1,2016-01-01,2016-01-06,738549,0,1,EUR
1700,366014,2,2016-01-01,2016-01-06,738549,0,2,EUR
1253,366016,1,2016-01-01,,1982762,63,7,USD
1176,367000,1,2016-01-02,,1438050,56,1,USD
153,367003,1,2016-01-02,,980164,40,2,GBP
136,367004,1,2016-01-02,,1853699,56,1,USD
1637,367004,2,2016-01-02,,1853699,56,4,USD
1691,367005,1,2016-01-02,2016-01-10,758280,0,1,EUR
319,367005,2,2016-01-02,2016-01-10,758280,0,2,EUR
1674,367005,3,2016-01-02,2016-01-10,758280,0,8,EUR
2511,367005,4,2016-01-02,2016-01-10,758280,0,9,EUR
1720,367005,5,2016-01-02,2016-01-10,758280,0,2,EUR
1597,367005,6,2016-01-02,2016-01-10,758280,0,7,EUR
784,367005,7,2016-01-02,2016-01-10,758280,0,1,EUR
2445,367006,1,2016-01-02,,693285,18,3,EUR
65,367007,1,2016-01-02,,1730985,57,7,USD
1432,367007,2,2016-01-02,,1730985,57,9,USD
1951,367008,1,2016-01-02,,763246,28,3,EUR
934,367009,1,2016-01-02,,1512558,57,1,USD
930,367009,2,2016-01-02,,1512558,57,8,USD
1436,367009,3,2016-01-02,,1512558,57,5,USD
1547,367009,4,2016-01-02,,1512558,57,3,USD
53,367009,5,2016-01-02,,1512558,57,5,USD
917,367010,1,2016-01-02,,1322959,66,1,USD
39,367010,2,2016-01-02,,1322959,66,1,USD
39,367011,1,2016-01-02,,507981,22,1,EUR
1653,367012,1,2016-01-02,,209990,9,5,CAD
145,367012,2,2016-01-02,,209990,9,3,CAD
1733,367013,1,2016-01-02,,815458,31,2,EUR
41,367013,2,2016-01-02,,815458,31,6,EUR
1184,367014,1,2016-01-02,,1839627,56,3,USD
2296,367015,1,2016-01-02,,911025,42,7,GBP
1487,367016,1,2016-01-02,,1633409,63,1,USD
558,367016,2,2016-01-02,,1633409,63,7,USD
206,367016,3,2016-01-02,,1633409,63,3,USD
1203,367017,1,2016-01-02,,1612400,47,4,USD
1245,367018,1,2016-01-02,,1301565,59,2,USD
1973,367018,2,2016-01-02,,1301565,59,4,USD
731,367018,3,2016-01-02,,1301565,59,4,USD
1947,367019,1,2016-01-02,,793573,29,2,EUR
1645,367019,2,2016-01-02,,793573,29,7,EUR
371,367019,3,2016-01-02,,793573,29,7,EUR
448,367020,1,2016-01-02,,799366,29,6,EUR
1975,367020,2,2016-01-02,,799366,29,1,EUR
1445,367021,1,2016-01-02,,243917,10,4,CAD
1624,367021,2,2016-01-02,,243917,10,6,CAD
1615,367021,3,2016-01-02,,243917,10,2,CAD
1596,367022,1,2016-01-02,,942807,42,1,GBP
1253,367022,2,2016-01-02,,942807,42,7,GBP
663,367022,3,2016-01-02,,942807,42,3,GBP
1194,367022,4,2016-01-02,,942807,42,6,GBP
1139,367023,1,2016-01-02,,129318,2,5,AUD
1031,367023,2,2016-01-02,,129318,2,2,AUD
302,367024,1,2016-01-02,,1713253,50,8,USD
2105,367024,2,2016-01-02,,1713253,50,5,USD
1608,367025,1,2016-01-02,,1736623,56,1,USD
1641,367025,2,2016-01-02,,1736623,56,2,USD
1574,367025,3,2016-01-02,,1736623,56,3,USD
2218,367026,1,2016-01-02,,1836599,53,2,USD
78,367026,2,2016-01-02,,1836599,53,1,USD
2451,367027,1,2016-01-02,,1482586,53,3,USD
1645,367027,2,2016-01-02,,1482586,53,1,USD
1728,367027,3,2016-01-02,,1482586,53,2,USD
976,367028,1,2016-01-02,2016-01-11,607356,0,1,EUR
2017,367028,2,2016-01-02,2016-01-11,607356,0,3,EUR
1607,367029,1,2016-01-02,,1260533,66,1,USD
